lemma,count
λωφάω,52
ἀχροΐννυμι,1
προαγιωράσκω,1
ρρινόω,1
συναισθέω,3
ποσέομαι,1
ὑπερπαχυν́ομαι,1
ῥηθόω,1
ἑνώω,1
Κωμῳδέω,2
ἐγγαμίζω,1
μάρναμαι,106
στασιάζειμι,1
εἱλιξέω,1
ἐκπεφονέομαι,1
πίγριππευοι,4
προσκτίζω,9
διατετηρέω,3
φιγκτἰμί,12
τελέσσω,1
προσιστέλλω,5
προσυποδείκνυμι,1
ἀποτέομαι,1
ἐκκραγέω,1
κατακυλίνδω,5
ἀποχωρίζω,60
ἀντεπάσχω,1
ἐπιταίνω,1
ὁρμαίνω,55
αὐάνω,1
οἴγω,31
ἡττέω,32
βουλήω,3
διελ́ζω,1
ῥωννύμεναι,1
ἀποβραχειίνω,1
προτεθερμαίνω,1
συνεπαλαλάζω,1
συγκοσμέω,3
δήκνυμι,4
οἑ͂δα,1
ἐξαιωρέω,1
κρηπιδέω,1
ψύκω,5
ἀποβήσσω,10
παρανικάω,1
συγκαταβάλλω,3
συμπωρόω,2
ἐξενανεόκ,1
ἐξενεχθέω,2
παλλέομαι,6
μεταπρέπω,31
εὐτρπίζομαι,1
ἐψυκνέομαι,2
προσεξανδραποδίζομαι,1
ἐκτετ́αιυμι,2
καταληφ́ω,3
ἀπομιμέω,1
δεκατεττάρω,1
ριπεφράσσω,2
ἀπωλλύω,6
συγκείζω,1
ἐκχύω,28
τελείσκω,1
ἀχθέωντι,3
ἁταιρέω,2
εὑρεσιλογέω,5
ἐμψεύγνυμι,1
ὑποκρέκω,2
ἐκχυλίζω,3
προσερέσθαι,1
ἀνατίͅζω,3
ὑποκυίω,2
θελγέω,1
ἐπιχαριεντίζομαι,1
ᾠκίσιυμι,3
ἐλαστρέω,8
παροφαίνω,2
κεδάομαι,1
προσεξαμαρτάνω,4
ἀναγλυψαντάω,1
βρίθημι,2
φιλοστοργέω,9
ἐξαυτομολέω,5
φθεγ́σσω,2
ῥᾳστωνέω,13
παραληφθέω,1
καταλοιδορέω,1
ἀναπλήσνυμι,1
συμμισέω,1
προὔχισʼκομαι,1
προήδομαι,6
συνενεχθίζω,1
ἀντεισφέρω,5
ὑπενοέω,2
κατασκάπτω,342
ἀπολελύω,5
καταψύγω,8
ἀνασφάλλω,5
γίγγραμμαι,16
δεδ́οιυμι,2
προσεξηπειρόω,1
διαστείγλαμαι,1
ζωγραφέω,21
ληθάνομαι,1
ἀνρριπτέω,4
καθιΐημι,2
συντε-λέω,1
ἴκπεπολιορκημι,1
πιφυκέω,1
προικαλέω,7
θριαμβεύω,88
μετοστρέφω,1
παρκομίζω,1
θεοβλαβέω,1
ξύντετριφα,1
ἰάζω,37
ἐξοιδίͅσκω,1
καίδωμι,1
ἐπισκέπω,15
προσποπλέυκω,1
προτράλπω,1
χλιδάω,14
ἐπιδεδ́ημι,3
ἐξᾳράω,3
φανερωτίθημι,1
καταξαίνω,16
ρὅω,2
διοίγνυμι,31
ἀστρονομέω,9
ἀποκναίζω,1
ἀνοικτάω,5
συνεστιάζω,1
σχολάζω,296
προὔχω,20
φίμους,2
ἀποδέρχομαυ,1
προστίζω,1
συνθλάζω,5
ἀνδραγαθίζομαι,6
καταλιπαρέω,3
ἱκετεύω,497
ἀναισχυντέω,53
προαναιρέω,29
ἀργυρίζομαι,5
τυραννίζω,1
προστρέχο,1
ὑπαθαρσέω,1
ὑπεστάρχομαι,1
ὑποταρβέω,1
ἐπιλελάω,1
κατοικίζω,231
τῆσσω,3
θέασω,1
ἀπελείψω,2
προπεπηλάκικο,1
προσμενέω,1
προσσφάζω,1
ἐξαθροίζομαι,1
ὑπεκτήκω,9
ἀπαφέρω,31
ἀπακριβόω,10
κατείγω,25
αεἱδω,1
προευεργετέω,1
ἐνοπτρίζω,3
κυριόω,7
καθείτω,1
διαπατάω,5
συγκαθιδρύω,2
ὑφιρηγανάκτημι,1
σχίζαμας,1
ἐπφέρω,28
ἐξαμβλέω,1
ἦρχθαι,6
μεθιζάνω,1
κατασκληκέω,1
καακεκρύφω,3
ἐξηερόω,2
ὀλιγώω,1
φαγ́σσω,1
ἐποστρέφω,4
περιττεύω,43
προσερρίαμω,1
ἐπιγιράνκω,1
παρακάθημαι,70
σμηχάομαι,1
συνεισενεγκέω,3
δεδίξομαι,2
ἀποίστημι,3
διένω,1
ἀντστρατοπεδεύω,3
ἀναβιβάομαι,2
ἐρηρείζομαι,2
μετασυνεθίζω,1
διαθρέω,7
ἐγκαταρράπτω,3
ἐπηρταίνω,1
προαπογικτόσνω,1
δεόη,5
παρεσκευάζομαι,5
ὀψιμαθέω,1
ὠχυράομαι,1
ἔχθω,75
ἀνείχω,3
ὑπεδέομαι,1
δειδυῖνω,1
αὐλάω,3
ὑποδικέω,2
Ῥααπογράω,1
περπερεύω,1
Ξανδρᾶμαι,1
ὑδρομέλιτονω,1
πράζω,2
παρεισφθείρω,2
ἀπαγορέυω,1
προεξαδυνατέω,2
βίβανομαι,1
συμπεριενέχω,1
περιπάσχω,1
μίρχομαν,1
εἶμι,2
ἀπομυθέομαι,1
συνελάω,2
ἀπεταφρεύω,5
διδάκνυμι,2
οἰδάνομαι,1
μυωπίζω,12
προκαθαίρω,12
περιηγέομαι,17
προὐτίθημι,5
νεκρέω,27
ἀπονενοαίνω,1
προυτείνω,4
ἀποθεραπεύω,21
δεδωύνω,8
ὑποσαμβάνω,1
κριθιάζω,1
ἐπφύω,1
εὐμαρέω,2
πριόω,2
ἀποφθείρω,22
φεύγνυμι,13
ὁποιαισόω,1
ξευρέω,15
γεωργέω,293
διαπεινάω,1
παρημανθάνω,1
περισαρκίζω,3
ἐπιφυτεύω,1
πεύω,5
προσμερίζω,4
ἐπηγγέλιυμι,3
ὀρεχθέω,10
καταγινώσκω,8
κεκαρύσσω,8
ἀπερυθριάζω,1
καλεέσκω,1
ἀμεάλλω,2
ἐφέψω,3
προεμβιβάζω,2
νεβρόω,1
στροφάω,3
ἀπαγάλγω,1
ἐπεντέλλω,1
ἀποξύνω,22
πορνοβοσκέω,7
ἐκπλ́ησσω,2
ἐπεγχεῦῃ,1
πέριειληφα,2
σεσιωπέω,1
ἐπισχίζω,2
ἀνειρέω,1
ἀπογινώσκω,6
ἀποδείδω,1
ἐπαύσκω,6
ζωροποτέω,2
ἀλαόω,3
ἐναβάλλω,2
κυέω,271
ἐπέοικε,23
ἰσάζω,99
ἠγέω,1
περιφέρω,347
προειθίζω,1
συγκατεργέω,1
συνιβουλεύω,3
νικᾷν,15
ἀμφιθάλπω,2
προδιαβεβλαίνω,1
λινοστατέω,2
ὑπόδεδεγμαι,1
ἐπισπέρχω,40
λευκεριώνομαι,1
διεφθαρ́ω,1
ἐμπυΐκνεσομαι,1
ὀρέσσω,23
προσαναμνήζω,1
χασ́σκω,7
συνθραύω,7
ἀμπίμπλημι,6
νεκρίνω,1
συνεπισείω,1
προτίω,3
κωπάω,1
θρυφθαίνω,1
προνίστημι,2
ὑποζεύγνυμι,16
κεκ́λλω,1
διαγεγράφομαι,1
ὀργίζω,703
ἐπιτρίζω,2
ἐπαδίδωμι,4
μοναρχέω,45
ἐαποβρέχω,1
παραστάζω,15
παραλήπομαι,1
ἐκεκυφάνω,1
ῥᾳθυμήσω,1
διαράομαι,2
τακείνω,1
ΝΠ,1
ἀποδύνω,4
ξυμμίγνυμι,1
ἀφίθημι,11
ὑπορβάλλω,1
γηροτροφέω,14
σταίνω,8
διαλαιμοτομέομαι,1
ὑζεύζω,1
ὁποιαιδηποτόω,1
θυμιέρχομνι,1
φίοσκω,1
συνοράω,393
θαρσύνω,53
συμψύχομαι,1
όἰομαι,1
καταμαντεύω,2
τίτμτω,4
πίω,46
προοτελέσνω,1
ἐπιτοξεύω,1
μεθορμίζω,9
χανόω,2
ἐφοπλίζομαι,1
ἀπείλεεν,1
ἀναδοτίθημι,4
ὑποσπείρω,6
ΛΩ,2
ἀφιβλάστημι,4
ἐρίζηιομαι,1
ἐπιβροντάω,1
προσοψωνέω,2
συναρθρούμεναι,1
συνεπιληράω,1
νενοαίνω,2
ἀμαυρόω,65
καταμεμάχημαι,1
ἐπίκειμαι,906
κατασκευάζω,2709
φαγ́νω,4
παραλέλυμαι,1
ἡλιόομαι,1
πεπράχω,1
βεβοέω,2
ἀφίσειμι,1
καταριθμάνω,1
ἐπαίρω,738
προειορτάζω,1
προκατανίπτω,2
θοπεύω,1
προσκεκυνέω,1
προσβαλωύω,1
ἐρεβοδιφάω,1
κριθιάω,2
διακαύω,2
ἐκχαλινόω,1
τέρπτω,1
ἐσαρκόω,1
ἐμφιληδέω,1
ἐξαιτέω,169
ἀποτυμπανίζω,18
ἀποκινέομαι,1
στελλέομαι,1
ὀδωδέω,3
ἐπιρρώννυμι,77
ἐπιπείθω,2
ὑγιάνω,1
ἐγκαλοπύω,3
προσρήσσω,1
ἐπιἐκδαπανέομαι,1
προΐστημι,611
προτείναμαι,2
λυθαίνω,2
ἐπισφραγίω,4
ἰλιγγιάζω,3
γηράκω,10
εἰσίζομαι,1
κεμομικέω,1
ἐνασκευάζω,6
κατασχίημι,8
ἀνεστομάω,4
προΐδομι,2
φημʼ,1
περιτρέω,1
κταρείσσω,1
κατοιχνέω,1
γράζω,3
